CRUTEM4 716200 : KINGSTON temperature,,,,,,,,,,,,,,,,,
Lat:    44.20 (N)  Lon:   -76.60 (W)  Elevation (m):    93.00,,,,,,,,,,,,,,,,,
Start and End Years, and First Year Used (earlier years not considered reliable),,,,,,,,,,,,,,,,
  1872  2016  1872,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Please cite:,,,,,,,,,,,,,,,,,
Osborn & Jones (2014) Earth System Science Data (doi:10.5194/essd-6-61-2014),,,,,,,,,,,,,,,,,
Jones et al. (2012) J. Geophys. Res. (doi:10.1029/2011JD017139),,,,,,,,,,,,,,,,,
Missing code: -99.99,,,,,,,,,,,,,,,,,
Each seasonal mean requires all 3 months to have data,,,,,,,,,,,,,,,,,
Each annual mean requires all 12 months to have data,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Year,    Jan,    Feb,    Mar,    Apr,    May,    Jun,    Jul,    Aug,    Sep,    Oct,    Nov,    Dec,    DJF,    MAM,    JJA,    SON, Annual
1920,-13.4,-8.7,-1.5,3.9,10.9,16.6,17.4,20.5,16.7,11.7,1.4,-3.5,-9.7,4.43,18.17,9.93,6
1921,-4.9,-4.3,1.9,8.3,13.6,18.1,24.4,19.7,18.2,9.5,0.6,-4.8,-4.23,7.93,20.73,9.43,8.36
1922,-9.1,-6.2,-0.8,5.4,13.8,17.1,20,19.4,16.7,8.4,3.6,-4.5,-6.7,6.13,18.83,9.57,6.98
1923,-11.3,-10.7,-6,3.1,9.6,16.6,19.3,18.8,15.8,8.7,3.5,0.9,-8.83,2.23,18.23,9.33,5.69
1924,-6.7,-10.6,-1.2,4.6,8.6,15.4,18.6,18.6,14,9.3,3,-6.8,-5.47,4,17.53,8.77,5.57
1925,-11.7,-4.3,-0.3,5.6,8.7,16.6,18.3,19.6,15.3,5,2.3,-4.9,-7.6,4.67,18.17,7.53,5.85
1926,-6.4,-8.8,-5.2,1.3,10.2,13.8,18.9,19.3,14,7.7,2.1,-7,-6.7,2.1,17.33,7.93,4.99
1927,-9.1,-5.6,0.4,4.7,10.2,14.6,19.2,17.3,15.7,10.9,3.7,-3.4,-7.23,5.1,17.03,10.1,6.55
1928,-6.7,-7.2,-2.8,3.3,10.2,14.9,19.6,20.5,13.6,9.5,2.9,-1,-5.77,3.57,18.33,8.67,6.4
1929,-7.5,-8.7,0.1,5.4,9.6,16.1,19,17.7,16.3,8.1,2.3,-6.5,-5.73,5.03,17.6,8.9,5.99
1930,-6.7,-6.8,-2.1,4.2,11.8,17.2,19.1,18.8,16.8,9.2,4.4,-3.5,-6.67,4.63,18.37,10.13,6.87
1931,-7.2,-6.4,0.7,6.3,11.5,17.2,21.7,20.2,17.5,11.2,6.3,-1.7,-5.7,6.17,19.7,11.67,8.11
1932,-0.8,-4.4,-3.7,3.2,11.3,16.5,18.4,19.9,16.2,10.3,1.5,-1.8,-2.3,3.6,18.27,9.33,7.22
1933,-1,-4.5,-2.2,6.1,12.5,18.3,21.6,19.9,16.7,8.6,-1.9,-8.9,-2.43,5.47,19.93,7.8,7.1
1934,-7.5,-15.5,-3.8,4.2,11.4,17.8,20.9,18,17.3,7.8,4.3,-7.4,-10.63,3.93,18.9,9.8,5.62
1935,-11,-8.3,-0.8,5,9,16.2,21.7,20.4,13.7,9.5,3.5,-8.7,-8.9,4.4,19.43,8.9,5.85
